0.814724 0.655741 0.438744 0.751267 0.351660 0.162182 0.106653 0.853031 0.780252 0.547009 
0.905792 0.035712 0.381558 0.255095 0.830829 0.794285 0.961898 0.622055 0.389739 0.296321 
0.126987 0.849129 0.765517 0.505957 0.585264 0.311215 0.004634 0.350952 0.241691 0.744693 
0.913376 0.933993 0.795200 0.699077 0.549724 0.528533 0.774910 0.513250 0.403912 0.188955 
0.632359 0.678735 0.186873 0.890903 0.917194 0.165649 0.817303 0.401808 0.096455 0.686775 
0.097540 0.757740 0.489764 0.959291 0.285839 0.601982 0.868695 0.075967 0.131973 0.183511 
0.278498 0.743132 0.445586 0.547216 0.757200 0.262971 0.084436 0.239916 0.942051 0.368485 
0.546882 0.392227 0.646313 0.138624 0.753729 0.654079 0.399783 0.123319 0.956135 0.625619 
0.957507 0.655478 0.709365 0.149294 0.380446 0.689215 0.259870 0.183908 0.575209 0.780227 
0.964889 0.171187 0.754687 0.257508 0.567822 0.748152 0.800068 0.239953 0.059780 0.081126 
0.157613 0.706046 0.276025 0.840717 0.075854 0.450542 0.431414 0.417267 0.234780 0.929386 
0.970593 0.031833 0.679703 0.254282 0.053950 0.083821 0.910648 0.049654 0.353159 0.775713 
0.957167 0.276923 0.655098 0.814285 0.530798 0.228977 0.181847 0.902716 0.821194 0.486792 
0.485376 0.046171 0.162612 0.243525 0.779167 0.913337 0.263803 0.944787 0.015403 0.435859 
0.800280 0.097132 0.118998 0.929264 0.934011 0.152378 0.145539 0.490864 0.043024 0.446784 
0.141886 0.823458 0.498364 0.349984 0.129906 0.825817 0.136069 0.489253 0.168990 0.306349 
0.421761 0.694829 0.959744 0.196595 0.568824 0.538342 0.869292 0.337719 0.649115 0.508509 
0.915736 0.317099 0.340386 0.251084 0.469391 0.996135 0.579705 0.900054 0.731722 0.510772 
0.792207 0.950222 0.585268 0.616045 0.011902 0.078176 0.549860 0.369247 0.647746 0.817628 
0.959492 0.034446 0.223812 0.473289 0.337123 0.442678 0.144955 0.111203 0.450924 0.794831 
