0.315443 0.995916 0.795687 0.087597 0.832525 0.462852 0.735283 0.347345 0.930471 0.333607 0.599303 0.284640 0.179321 0.425892 0.080713 0.450510 0.142916 0.402608 0.468051 0.773916 0.241861 0.577483 0.669981 0.734235 0.734794 0.853893 0.002755 0.465651 0.315400 0.826090 0.749987 0.301787 0.690767 0.172850 0.944470 0.248752 0.080646 0.858034 0.517884 0.995947 0.259032 0.205768 0.327856 0.324717 0.762052 0.626434 0.743602 0.110013 0.218957 0.243430 
0.127436 0.069980 0.260729 0.910509 0.035773 0.844885 0.531346 0.990102 0.912386 0.095002 0.377162 0.301900 0.322451 0.254908 0.803341 0.360053 0.898464 0.134732 0.026060 0.338758 0.069544 0.646264 0.381357 0.181616 0.383426 0.217178 0.924870 0.588384 0.740693 0.381187 0.369348 0.665812 0.011410 0.131425 0.711710 0.736304 0.801950 0.215307 0.964119 0.914218 0.847749 0.209982 0.446114 0.625126 0.405555 0.273547 0.055943 0.347165 0.783203 0.289677 
0.817724 0.419939 0.998417 0.467149 0.083227 0.321532 0.948165 0.603715 0.391139 0.060988 0.527638 0.068315 0.238257 0.510397 0.019643 0.852543 0.677320 0.034444 0.258748 0.507195 0.897094 0.394863 0.760108 0.098610 0.416068 0.471821 0.175656 0.420716 0.471937 0.389794 0.895116 0.661789 0.694631 0.477297 0.180741 0.661406 0.720766 0.897505 0.815571 0.833418 0.017046 0.707892 0.339413 0.698059 0.503678 0.512324 0.127472 0.520697 0.996541 0.791110 
0.745531 0.545000 0.320411 0.548772 0.987946 0.547448 0.381230 0.004146 0.838720 0.887429 0.287620 0.473512 0.999568 0.853054 0.902874 0.895457 0.361740 0.316712 0.642493 0.933026 0.123691 0.868291 0.436070 0.168011 0.288874 0.289084 0.031810 0.144615 0.596364 0.297381 0.534904 0.293031 0.786152 0.629104 0.719173 0.511717 0.004342 0.548304 0.914763 0.058794 0.321165 0.869480 0.775874 0.729377 0.640337 0.775899 0.807792 0.071077 0.141073 0.494834 
0.596445 0.303298 0.808417 0.035134 0.036448 0.947279 0.565334 0.991774 0.402995 0.007115 0.869570 0.298497 0.752464 0.881758 0.855552 0.640380 0.790179 0.477448 0.528830 0.092317 0.542865 0.724529 0.575629 0.510599 0.376614 0.143668 0.457951 0.237191 0.626987 0.035627 0.025246 0.219596 0.560780 0.834509 0.720761 0.821343 0.122139 0.941280 0.668023 0.765875 0.652643 0.301097 0.298154 0.029365 0.054604 0.631628 0.720432 0.705281 0.575704 0.002724 
0.575563 0.262159 0.735584 0.122639 0.227370 0.930675 0.105050 0.676896 0.018386 0.621692 0.512850 0.472106 0.727021 0.676396 0.180338 0.892033 0.234174 0.266359 0.133505 0.542761 0.039918 0.011892 0.313788 0.512222 0.666092 0.704966 0.931276 0.490958 0.470227 0.457174 0.708175 0.655188 0.281054 0.477623 0.905921 0.058481 0.898570 0.093483 0.788436 0.327609 0.351915 0.169943 0.094824 0.672804 0.334985 0.153638 0.030113 0.299681 0.860140 0.942888 
0.260855 0.351649 0.722978 0.451623 0.918206 0.647426 0.630349 0.675518 0.416111 0.507431 0.121586 0.170769 0.184229 0.664516 0.406647 0.286304 0.376713 0.543223 0.833544 0.868902 0.579367 0.463192 0.535583 0.610069 0.940920 0.483506 0.173693 0.955146 0.449134 0.173047 0.479237 0.548070 0.503046 0.371258 0.806794 0.150845 0.638934 0.115978 0.359043 0.080251 0.962846 0.181597 0.321366 0.857954 0.015466 0.306363 0.349892 0.407463 0.497426 0.120676 
0.064405 0.763128 0.074384 0.177041 0.799375 0.052430 0.368977 0.023344 0.573116 0.618720 0.136590 0.779767 0.874431 0.955010 0.059002 0.525342 0.801300 0.452052 0.816262 0.540805 0.653854 0.611676 0.823287 0.429679 0.045706 0.264107 0.341824 0.110499 0.749355 0.295905 0.740934 0.059917 0.476474 0.271322 0.579352 0.111044 0.580298 0.400483 0.612881 0.707161 0.205018 0.703613 0.262206 0.368057 0.993129 0.975417 0.988287 0.716070 0.144480 0.663494 
0.436841 0.180299 0.667187 0.387104 0.098948 0.136542 0.710070 0.820710 0.189761 0.896558 0.773513 0.997971 0.725295 0.457998 0.094309 0.088144 0.004950 0.795782 0.446887 0.490702 0.177141 0.120433 0.131462 0.814293 0.115241 0.672707 0.465156 0.517866 0.743190 0.279351 0.165467 0.843881 0.526483 0.852492 0.612986 0.772740 0.586521 0.933839 0.129575 0.252314 0.847819 0.349498 0.304656 0.471703 0.026382 0.407809 0.659210 0.891153 0.575088 0.010989 
0.552507 0.000011 0.429331 0.207521 0.300289 0.984029 0.717610 0.302407 0.753577 0.842238 0.962443 0.626437 0.399252 0.819873 0.535615 0.852113 0.274854 0.714974 0.843753 0.940693 0.499955 0.018092 0.657818 0.997145 0.310507 0.069419 0.831823 0.225057 0.096848 0.584902 0.327708 0.793602 0.191916 0.549060 0.438249 0.744318 0.907087 0.821635 0.152413 0.677303 0.893221 0.850811 0.498395 0.819380 0.923948 0.547201 0.405926 0.874019 0.471551 0.894338 
